Nome da UC,Esfera Administrativa,Sigla Orgão Gestor,Situação,Categorias de Manejo,Código CNUC
MONUMENTO NATURAL DAS LAGOAS,Municipal,SEMADS,Extinto,Monumento Natural,0830.50.3645
ÁREA DE PROTEÇÃO AMBIENTAL FAZENDA CAPITÃO EDUARDO,Estadual,IEF,Extinto,Área de Proteção Ambiental,0000.31.0893
RESERVA BIOLOGICA DE APIAÍ,Municipal,SMTCMA,Extinto,Reserva Biológica,0270.35.2629
PARQUE ESTADUAL DAS TRILHAS DOS CINCO RIOS,Estadual,SUDEMA,Extinto,Parque,0000.25.3125
ESTAÇÃO ECOLÓGICA BANHADOS DE IGUAPE,Estadual,FUNDAÇÃO FLORESTAL,Extinto,Estação Ecológica,0000.35.1970
PARQUE ESTADUAL DO JACARAPÉ,Estadual,SUDEMA,Extinto,Parque,0000.25.2334
PARQUE ESTADUAL DO ARATU,Estadual,SUDEMA,Extinto,Parque,0000.25.2333
ESTAÇÃO ECOLÓGICA DE IQUÊ,Federal,ICMBio,Extinto,Estação Ecológica,0000.00.0055
PARQUE ESTADUAL DA SERRA DE SONORA,Estadual,IMASUL,Extinto,Parque,0000.50.0418
ÁREA DE PROTEÇÃO AMBIENTAL - BAIXO RIO BRANCO,Estadual,FEMARH,Extinto,Área de Proteção Ambiental,0000.14.1927
PARQUE NATURAL MUNICIPAL ARIVALDO BARRETO,Municipal, ,Extinto,Parque,0030.16.1843
ESTAÇÃO ECOLÓGICA DO PARAÍSO,Estadual,INEA,Extinto,Estação Ecológica,0000.33.0725
ÁREA DE PROTEÇÃO AMBIENTAL DA FLORESTA DO JACARANDÁ,Estadual,INEA,Extinto,Área de Proteção Ambiental,0000.33.0730
PARQUE ESTADUAL DO DESCOBERTO,Estadual,SEMARH,Extinto,Parque,0000.52.1746
ESTAÇÃO ECOLÓGICA DE CARACARAÍ,Federal,ICMBio,Extinto,Estação Ecológica,0000.00.0051
ÁREA DE PROTEÇÃO AMBIENTAL JERICOACOARA,Federal,ICMBio,Extinto,Área de Proteção Ambiental,0000.00.0026
ESTAÇÃO ECOLÓGICA ANTÔNIO MUJICA NAVA,Estadual,SEDAM,Extinto,Estação Ecológica,0000.11.0769
